# SMALL VEHICLE CAPACITY	Speed ratio small vs large	Time horizon	TW width	service duration
400	2	32400	7200	300
# CUSTNO.	DEMAND	VERTEX_TYPE	LATITUDE	LONGITUDE	TW_OPENING
1	0	D	47.282609	-1.520303	0
15	0	P	47.234018	-1.535018	0
30	0	P	47.229754	-1.572034	0
3	40	S	47.214248	-1.557261	10800
6	20	S	47.2211	-1.555272	18000
9	40	S	47.216294	-1.551915	7200
12	50	S	47.219669	-1.55567	0
13	50	S	47.21789	-1.542601	10800
18	10	S	47.216174	-1.561164	19800
2	20	LS	47.256911	-1.513408	23400
7	60	LS	47.249798	-1.51467	16200
10	40	LS	47.2396	-1.518566	18000
11	50	LS	47.235282	-1.50217	16200
16	60	LS	47.259222	-1.518944	3600
26	10	LS	47.241135	-1.572605	9000
